idx,  act, range, tcyc, nspots, fmax
  0, 1.97, 21.48, 25.3,    15, 9.89e-04
  1, 1.03, 26.13, 30.9,   309, 5.41e-03
  2, 1.14, 14.54, 24.8,     0,
  3, 6.20, 31.76,  9.3,   304, 1.84e-03
  4, 2.51, 13.80,  1.0,   548, 2.32e-02
  5, 2.68,  5.94, 12.2,    20, 1.21e-03
  6, 2.72, 72.35, 24.5,     3, 1.70e-04
  7, 0.28,  9.54, 26.5,    31, 5.33e-04
  8, 0.22, 43.51, 18.6,    69, 1.72e-03
  9, 0.82, 16.95,  3.2,    57, 2.04e-03
 10, 7.20, 47.75,  1.3,  1421, 4.34e-02
 11, 0.10, 15.04, 23.3,     0,
 12, 0.15, 63.22, 24.0,     0,
 13, 5.02, 13.25,  3.7,   370, 1.05e-02
 14, 0.94, 14.74,  2.3,    97, 1.18e-03
 15, 5.67, 71.36,  2.3,   707, 1.94e-02
 16, 0.41, 54.77,  2.1,    61, 1.65e-03
 17, 0.60, 30.35,  2.5,    61, 1.36e-03
 18, 1.46, 48.77,  1.1,   284, 9.73e-03
 19, 0.17, 10.93,  1.1,    47, 2.95e-04
 20, 3.43, 41.38, 23.9,     5, 1.79e-04
 21, 0.42, 16.89, 31.7,     5, 7.84e-05
 22, 1.96, 32.53, 10.1,    36, 7.07e-04
 23, 0.12, 71.40, 13.2,     1, 9.93e-05
 24, 0.22, 71.89, 17.7,     5, 3.39e-04
 25, 0.73, 13.71, 11.1,     5, 2.64e-04
 26, 0.29,  8.56, 10.6,    57, 9.01e-04
 27, 8.56, 67.48,  1.9,  1233, 3.00e-02
 28, 6.45, 59.82,  1.7,  1089, 3.36e-02
 29, 5.39, 45.14, 13.5,    34, 2.15e-03
 30, 0.12, 37.69, 37.8,     0,
 31, 3.97, 55.04,  1.1,   975, 2.78e-02
 32, 6.49, 16.66, 24.0,    28, 3.25e-04
 33, 2.56, 49.96, 12.7,   238, 7.14e-03
 34, 0.29, 59.17, 16.2,     0,
 35, 0.67, 13.31, 17.9,     1, 7.45e-06
 36, 9.06, 55.46,  2.5,   985, 3.55e-03
 37, 0.46, 37.03,  2.0,    63, 9.56e-04
 38, 1.55,  6.55,  7.3,   111, 5.14e-04
 39, 1.18, 29.04,  6.8,   127, 5.29e-03
 40, 0.84, 16.73,  3.2,   188, 7.15e-03
 41, 0.28, 46.91, 34.5,    35, 1.61e-03
 42, 6.94,  9.71, 30.9,    11, 1.49e-04
 43, 1.67, 41.82,  6.1,    63, 3.91e-03
 44, 0.28, 12.79,  6.1,     6, 4.16e-04
 45, 0.12, 80.74,  1.3,    35, 6.15e-04
 46, 1.25, 36.72,  3.9,    54, 1.21e-03
 47, 0.15, 32.15,  1.4,    28, 5.74e-04
 48, 4.33, 29.03, 35.5,    46, 4.64e-04
 49, 2.33, 20.98, 25.1,    11, 3.29e-04
 50, 7.44, 64.42,  6.1,   481, 4.80e-03
 51, 0.15,  7.20, 16.3,     0,
 52, 0.11, 77.33,  3.0,    10, 4.45e-04
