     l1A l1B |  l2A  l2B |   NA   NB
  0: 3.1 3.0 | 55.6 53.0 | 1993 1993
  1: 3.0 3.1 | 57.0 55.7 | 1951 2025
  2: 3.2 3.0 | 53.9 53.4 | 1996 2037
  3: 3.2 3.1 | 56.3 54.5 | 1970 2059
  4: 4.5 3.2 | 53.5 56.9 | 2029 2022
  5: 3.0 3.4 | 56.8 53.5 | 1917 2013
  6: 3.1 3.3 | 52.8 54.8 | 1961 2066
  7: 3.5 3.4 | 56.0 56.5 | 1927 2010
  8: 3.1 3.7 | 55.1 56.0 | 2027 1936
  9: 3.6 3.8 | 54.1 56.2 | 2014 2018
 10: 3.5 3.6 | 56.8 55.7 | 2073 1977
 11: 3.0 3.2 | 55.1 56.3 | 1966 2025
 12: 3.1 3.1 | 57.0 53.9 | 1942 1958
 13: 3.5 3.2 | 56.3 56.7 | 1982 2094
 14: 3.1 4.0 | 55.8 56.7 | 1952 2034
 15: 3.1 3.8 | 55.3 56.8 | 1957 2073
 16: 3.6 3.1 | 56.6 55.6 | 1969 2041
 17: 3.8 3.6 | 56.6 55.9 | 1925 1956
 18: 4.4 3.1 | 56.4 57.0 | 2025 2070
 19: 3.0 3.0 | 56.0 56.3 | 2054 1968
 20: 3.7 4.3 | 54.5 55.8 | 1912 2015
 21: 3.1 3.5 | 55.8 56.4 | 2015 2029
 22: 4.2 3.5 | 56.6 53.4 | 1985 1990
 23: 3.1 3.4 | 56.1 56.7 | 2107 2028
 24: 3.2 3.3 | 55.6 56.4 | 2009 2019
 25: 3.3 3.7 | 56.9 55.8 | 2028 2055
 26: 3.0 3.4 | 56.9 53.1 | 1952 1956
 27: 3.1 3.6 | 53.5 53.1 | 2078 1994
 28: 3.3 3.6 | 56.5 56.5 | 2030 2058
 29: 3.7 3.0 | 54.6 56.6 | 1984 2004
 30: 3.2 3.2 | 56.9 56.7 | 1940 2061
 31: 3.6 3.7 | 52.0 56.5 | 1965 2056
 32: 3.0 3.1 | 55.5 51.8 | 2026 1960
 33: 3.8 3.3 | 53.6 56.4 | 1931 1960
 34: 3.0 5.0 | 54.9 56.7 | 2001 1947
 35: 3.5 3.4 | 56.9 56.8 | 1896 2003
 36: 3.1 3.0 | 53.3 56.1 | 1929 1934
 37: 3.3 3.3 | 55.5 54.2 | 1988 2017
 38: 4.1 4.0 | 54.1 56.9 | 2072 2007
 39: 3.3 3.0 | 53.3 56.1 | 2042 2033
 40: 3.2 3.3 | 56.1 55.7 | 1928 2070
 41: 3.1 3.5 | 52.9 54.0 | 2035 2013
 42: 3.2 3.0 | 53.6 56.6 | 2037 2043
 43: 3.1 3.9 | 55.3 54.4 | 2050 2026
 44: 4.5 3.2 | 54.9 55.6 | 1994 2039
 45: 3.0 3.5 | 53.2 55.2 | 1984 2003
 46: 3.5 3.1 | 56.9 53.5 | 1949 1945
 47: 3.1 3.2 | 56.5 56.9 | 2065 2034
 48: 3.1 3.1 | 56.9 56.7 | 1948 1996
 49: 3.3 5.1 | 55.7 55.2 | 2022 1930
 50: 3.3 3.0 | 51.9 55.5 | 2083 2005
 51: 3.8 3.0 | 56.8 56.7 | 2021 2042
 52: 3.1 3.2 | 55.8 56.9 | 2035 2081
 53: 3.3 3.0 | 56.7 56.2 | 2085 1993
 54: 3.1 3.3 | 56.2 55.7 | 2027 1964
 55: 3.1 3.3 | 56.5 56.9 | 1996 1992
 56: 3.4 3.5 | 57.0 56.2 | 2004 2028
